名無しさん<><>17/05/22(月)07:51:10 ID:4kW<> あれいつまでやってんねん<br>ぜんまいざむらいが4年程度で終わったのにあの糞アニメがなんで7年以上もやっているか理解に苦しむね <>【聖域】はなかっぱアンチスレ【クソアニメ】
名無しさん<><>17/05/22(月)08:47:04 ID:86W<> えぇ…(困惑)<br>はなかっぱもうそんな長いんか <>
名無しさん<><>17/05/22(月)08:47:40 ID:fEG<> ワイの好きな声優がメインで出てる数少ないスレだから残して <>
名無しさん<><>17/05/22(月)08:55:21 ID:U5M<> あのアニメにあやねるとかザーさん出てたんだな... <>
名無しさん<><>17/05/22(月)08:57:20 ID:kNw<> 長スギィ！ <>
名無しさん<><>17/05/22(月)09:33:26 ID:Ln1<> ここ最近のNHKアンチネタは一体なんなんや <>
名無しさん<><>17/05/22(月)10:31:31 ID:8lF<> &gt;&gt;2<br>2010年3月29日が初の放送や<br><br>ぜんまいざむらいは毎回教訓的なのや登場人物変わって面白かったのにはなかっぱワンパターンでおもんねーわ<br>ヒロインみたいなやつも見ててイライラするし <>
名無しさん<><>17/05/22(月)11:14:47 ID:uLT<> ぜんまいは良作<br>はなかっぱは見てて退屈 <>
名無しさん<><>17/05/22(月)14:24:42 ID:Q0a<> &gt;&gt;6<br>誰でも簡単に語れるからね、しょうがないね <>
名無しさん<><>17/05/22(月)14:26:43 ID:48x<> はなかっぱってまだやってたんか <>
名無しさん<><>17/05/22(月)14:37:24 ID:Dr2<> おでんくんは終わったんか <>
名無しさん<><>17/05/22(月)20:28:42 ID:SQd<> ぜんまいざむらいは中学になっても毎日楽しく見ていたのにはなかっぱになった途端1週間で切ったわ<br>小学生やったｲﾓｳｯﾄもつまらん言うてすぐ見るのやめてた<br>たまーになんとなく見てみるけれどやっぱり糞つまらんし <>
名無しさん<><>17/05/22(月)20:33:14 ID:86W<> 政府要人がはなかっぱ好きやから終わらへんで <>
名無しさん<><>17/05/22(月)22:11:09 ID:Ovp<> ガリゾーに対する虐待を容認し放送し続けるNHKを許すな！ <>
名無しさん<><>17/05/22(月)23:37:32 ID:7P9<> これが無くなるとリアルユッキまこネキが事実上声優引退状態となるという事実<br><br>なお、最近は後先考えて売れない親友に業界のツテを作っている模様 <>
名無しさん<><>17/05/23(火)07:57:48 ID:y0v<> ももかっぱだいきらい<br>今すぐ画面から追放してほしい <>
名無しさん<><>17/05/23(火)16:53:50 ID:IeC<> &gt;&gt;16<br>わかる、いつだったかしゃっくり100回したら死ぬとかで大騒ぎしてて嫌いになった<br>ウザい <>
名無しさん<><>17/05/23(火)21:22:08 ID:vrE<> ぜんまいさまくそ面白かったんだよなあ <>
